Independent Variable - Plot	Dependent Variable - Plot
0	0
1	0.000593615
2	0.00237446
3	0.00534253
4	0.00949784
5	0.0148404
6	0.0213701
7	0.0290871
8	0.0379914
9	0.0480828
10	0.0593615
11	0.0718274
12	0.0854806
13	0.100321
14	0.116349
15	0.133563
16	0.151965
17	0.171555
18	0.192331
19	0.214295
20	0.237446
21	0.261784
22	0.28731
23	0.314022
24	0.341922
25	0.371009
26	0.401284
27	0.432745
28	0.465394
29	0.49923
30	0.534253
31	0.570464
32	0.607862
33	0.646447
34	0.686219
35	0.727178
36	0.769325
37	0.812659
38	0.85718
39	0.902888
40	0.949784
41	0.997867
42	1.04714
43	1.09759
44	1.14924
45	1.20207
46	1.25609
47	1.3113
48	1.36769
49	1.42527
50	1.48404
51	1.54399
52	1.60513
53	1.66746
54	1.73098
55	1.79569
56	1.86158
57	1.92866
58	1.99692
59	2.06637
60	2.13701
61	2.20884
62	2.28186
63	2.35606
64	2.43145
65	2.50802
66	2.58579
67	2.66474
68	2.74488
69	2.8262
70	2.90871
71	2.99241
72	3.0773
73	3.16337
74	3.25064
75	3.33908
76	3.42872
77	3.51954
78	3.61155
79	3.70475
80	3.79914
81	3.89471
82	3.99147
83	4.08941
84	4.18855
85	4.28887
86	4.39038
87	4.49307
88	4.59695
89	4.70202
90	4.80828
91	4.91573
92	5.02436
93	5.13418
94	5.24518
95	5.35738
96	5.47076
97	5.58532
98	5.70108
99	5.81802
100	5.93615
101	6.05547
102	6.17597
103	6.29766
104	6.42054
105	6.54461
106	6.66986
107	6.7963
108	6.92392
109	7.05274
110	7.18274
111	7.31393
112	7.44631
113	7.57987
114	7.71462
115	7.85056
116	7.98768
117	8.126
118	8.26549
119	8.40618
120	8.54806
121	8.69112
122	8.83537
123	8.9808
124	9.12742
125	9.27523
126	9.42423
127	9.57442
128	9.72579
129	9.87835
130	10.0321
131	10.187
132	10.3431
133	10.5005
134	10.659
135	10.8186
136	10.9795
137	11.1416
138	11.3048
139	11.4692
140	11.6349
141	11.8017
142	11.9697
143	12.1388
144	12.3092
145	12.4808
146	12.6535
147	12.8274
148	13.0025
149	13.1788
150	13.3563
151	13.535
152	13.7149
153	13.8959
154	14.0782
155	14.2616
156	14.4462
157	14.632
158	14.819
159	15.0072
160	15.1965
161	15.3871
162	15.5788
163	15.7718
164	15.9659
165	16.1612
166	16.3577
167	16.5553
168	16.7542
169	16.9542
170	17.1555
171	17.3579
172	17.5615
173	17.7663
174	17.9723
175	18.1795
176	18.3878
177	18.5974
178	18.8081
179	19.02
180	19.2331
181	19.4474
182	19.6629
183	19.8796
184	20.0974
185	20.3165
186	20.5367
187	20.7581
188	20.9807
189	21.2045
190	21.4295
191	21.6557
192	21.883
193	22.1116
194	22.3413
195	22.5722
196	22.8043
197	23.0376
198	23.2721
199	23.5077
200	23.7446
201	23.9826
202	24.2219
203	24.4623
204	24.7039
205	24.9467
206	25.1906
207	25.4358
208	25.6822
209	25.9297
210	26.1784
211	26.4283
212	26.6794
213	26.9317
214	27.1852
215	27.4399
216	27.6957
217	27.9527
218	28.211
219	28.4704
220	28.731
221	28.9927
222	29.2557
223	29.5199
224	29.7852
225	30.0518
226	30.3195
227	30.5884
228	30.8585
229	31.1298
230	31.4022
231	31.6759
232	31.9507
233	32.2268
234	32.504
235	32.7824
236	33.062
237	33.3428
238	33.6247
239	33.9079
240	34.1922
241	34.4778
242	34.7645
243	35.0524
244	35.3415
245	35.6317
246	35.9232
247	36.2159
248	36.5097
249	36.8047
250	37.1009
251	37.3983
252	37.6969
253	37.9967
254	38.2977
255	38.5998
256	38.9032
257	39.2077
258	39.5134
259	39.8203
260	40.1284
261	40.4376
262	40.7481
263	41.0598
264	41.3726
265	41.6866
266	42.0018
267	42.3182
268	42.6358
269	42.9546
270	43.2745
271	43.5957
272	43.918
273	44.2415
274	44.5662
275	44.8921
276	45.2192
277	45.5475
278	45.8769
279	46.2076
280	46.5394
281	46.8724
282	47.2066
283	47.542
284	47.8786
285	48.2164
286	48.5553
287	48.8955
288	49.2368
289	49.5793
290	49.923
291	50.2679
292	50.614
293	50.9613
294	51.3097
295	51.6593
296	52.0102
297	52.3622
298	52.7154
299	53.0698
300	53.4253
301	53.7821
302	54.1401
303	54.4992
304	54.8595
305	55.221
306	55.5837
307	55.9476
308	56.3127
309	56.679
310	57.0464
311	57.415
312	57.7849
313	58.1559
314	58.5281
315	58.9014
316	59.276
317	59.6518
318	60.0287
319	60.4069
320	60.7862
321	61.1667
322	61.5484
323	61.9313
324	62.3153
325	62.7006
326	63.087
327	63.4747
328	63.8635
329	64.2535
330	64.6447
331	65.037
332	65.4306
333	65.8254
334	66.2213
335	66.6184
336	67.0168
337	67.4163
338	67.8169
339	68.2188
340	68.6219
341	69.0261
342	69.4316
343	69.8382
344	70.246
345	70.655
346	71.0652
347	71.4766
348	71.8891
349	72.3029
350	72.7178
351	73.134
352	73.5513
353	73.9698
354	74.3895
355	74.8103
356	75.2324
357	75.6556
358	76.0801
359	76.5057
360	76.9325
361	77.3605
362	77.7897
363	78.2201
364	78.6516
365	79.0844
366	79.5183
367	79.9534
368	80.3897
369	80.8272
370	81.2659
371	81.7058
372	82.1468
373	82.5891
374	83.0325
375	83.4771
376	83.9229
377	84.3699
378	84.8181
379	85.2674
380	85.718
381	86.1697
382	86.6227
383	87.0768
384	87.5321
385	87.9886
386	88.4463
387	88.9051
388	89.3652
389	89.8264
390	90.2888
391	90.7524
392	91.2173
393	91.6832
394	92.1504
395	92.6188
396	93.0883
397	93.5591
398	94.031
399	94.5041
400	94.9784
401	95.4539
402	95.9306
403	96.4084
404	96.8875
405	97.3677
406	97.8491
407	98.3317
408	98.8155
409	99.3005
410	99.7867
411	100.274
412	100.763
413	101.252
414	101.743
415	102.235
416	102.729
417	103.223
418	103.719
419	104.216
420	104.714
421	105.213
422	105.713
423	106.215
424	106.718
425	107.222
426	107.727
427	108.233
428	108.741
429	109.249
430	109.759
431	110.271
432	110.783
433	111.296
434	111.811
435	112.327
436	112.844
437	113.362
438	113.881
439	114.402
440	114.924
441	115.447
442	115.971
443	116.496
444	117.023
445	117.551
446	118.08
447	118.61
448	119.141
449	119.673
450	120.207
451	120.742
452	121.278
453	121.815
454	122.354
455	122.893
456	123.434
457	123.976
458	124.519
459	125.063
460	125.609
461	126.156
462	126.704
463	127.253
464	127.803
465	128.354
466	128.907
467	129.461
468	130.016
469	130.572
470	131.13
471	131.688
472	132.248
473	132.809
474	133.371
475	133.934
476	134.499
477	135.065
478	135.632
479	136.2
480	136.769
481	137.339
482	137.911
483	138.484
484	139.058
485	139.633
486	140.209
487	140.787
488	141.366
489	141.946
490	142.527
491	143.109
492	143.693
493	144.278
494	144.863
495	145.451
496	146.039
497	146.628
498	147.219
499	147.811
500	148.404
501	148.998
502	149.593
503	150.19
504	150.788
505	151.387
506	151.987
507	152.588
508	153.191
509	153.794
510	154.399
511	155.005
512	155.613
513	156.221
514	156.831
515	157.442
516	158.054
517	158.667
518	159.281
519	159.897
520	160.513
521	161.131
522	161.751
523	162.371
524	162.992
525	163.615
526	164.239
527	164.864
528	165.49
529	166.118
530	166.746
531	167.376
532	168.007
533	168.639
534	169.273
535	169.907
536	170.543
537	171.18
538	171.818
539	172.458
540	173.098
541	173.74
542	174.383
543	175.027
544	175.672
545	176.318
546	176.966
547	177.615
548	178.265
549	178.916
550	179.569
551	180.222
552	180.877
553	181.533
554	182.19
555	182.848
556	183.508
557	184.168
558	184.83
559	185.493
560	186.158
561	186.823
562	187.49
563	188.158
564	188.827
565	189.497
566	190.168
567	190.841
568	191.514
569	192.189
570	192.866
571	193.543
572	194.221
573	194.901
574	195.582
575	196.264
576	196.947
577	197.632
578	198.317
579	199.004
580	199.692
581	200.381
582	201.072
583	201.763
584	202.456
585	203.15
586	203.845
587	204.541
588	205.239
589	205.937
590	206.637
591	207.338
592	208.041
593	208.744
594	209.449
595	210.155
596	210.862
597	211.57
598	212.279
599	212.99
600	213.701
601	214.414
602	215.128
603	215.844
604	216.56
605	217.278
606	217.997
607	218.717
608	219.438
609	220.161
610	220.884
611	221.609
612	222.335
613	223.062
614	223.79
615	224.52
616	225.251
617	225.983
618	226.716
619	227.45
620	228.186
621	228.922
622	229.66
623	230.399
624	231.139
625	231.881
626	232.623
627	233.367
628	234.112
629	234.858
630	235.606
631	236.354
632	237.104
633	237.855
634	238.607
635	239.36
636	240.115
637	240.871
638	241.627
639	242.385
640	243.145
641	243.905
642	244.667
643	245.43
644	246.193
645	246.959
646	247.725
647	248.493
648	249.261
649	250.031
650	250.802
651	251.575
652	252.348
653	253.123
654	253.899
655	254.676
656	255.454
657	256.233
658	257.014
659	257.796
660	258.579
661	259.363
662	260.148
663	260.935
664	261.722
665	262.511
666	263.301
667	264.093
668	264.885
669	265.679
670	266.474
671	267.27
672	268.067
673	268.865
674	269.665
675	270.466
676	271.268
677	272.071
678	272.875
679	273.681
680	274.488
681	275.295
682	276.105
683	276.915
684	277.726
685	278.539
686	279.353
687	280.168
688	280.984
689	281.801
690	282.62
691	283.44
692	284.261
693	285.083
694	285.906
695	286.731
696	287.557
697	288.383
698	289.212
699	290.041
700	290.871
701	291.703
702	292.536
703	293.37
704	294.205
705	295.041
706	295.879
707	296.718
708	297.558
709	298.399
710	299.241
711	300.085
712	300.93
713	301.775
714	302.623
715	303.471
716	304.32
717	305.171
718	306.023
719	306.876
720	307.73
721	308.585
722	309.442
723	310.3
724	311.159
725	312.019
726	312.88
727	313.743
728	314.606
729	315.471
730	316.337
731	317.205
732	318.073
733	318.943
734	319.814
735	320.686
736	321.559
737	322.433
738	323.309
739	324.186
740	325.064
741	325.943
742	326.823
743	327.705
744	328.587
745	329.471
746	330.356
747	331.242
748	332.13
749	333.019
750	333.908
751	334.799
752	335.692
753	336.585
754	337.48
755	338.375
756	339.272
757	340.17
758	341.07
759	341.97
760	342.872
761	343.775
762	344.679
763	345.584
764	346.491
765	347.398
766	348.307
767	349.217
768	350.128
769	351.041
770	351.954
771	352.869
772	353.785
773	354.702
774	355.62
775	356.54
776	357.461
777	358.383
778	359.306
779	360.23
780	361.155
781	362.082
782	363.01
783	363.939
784	364.869
785	365.8
786	366.733
787	367.667
788	368.602
789	369.538
790	370.475
791	371.414
792	372.353
793	373.294
794	374.236
795	375.18
796	376.124
797	377.07
798	378.016
799	378.964
800	379.914
801	380.864
802	381.816
803	382.768
804	383.722
805	384.677
806	385.634
807	386.591
808	387.55
809	388.51
810	389.471
811	390.433
812	391.396
813	392.361
814	393.327
815	394.294
816	395.262
817	396.231
818	397.202
819	398.174
820	399.147
821	400.121
822	401.096
823	402.073
824	403.05
825	404.029
826	405.009
827	405.99
828	406.973
829	407.957
830	408.941
831	409.927
832	410.915
833	411.903
834	412.892
835	413.883
836	414.875
837	415.868
838	416.863
839	417.858
840	418.855
841	419.853
842	420.852
843	421.852
844	422.853
845	423.856
846	424.86
847	425.865
848	426.871
849	427.878
850	428.887
851	429.897
852	430.907
853	431.92
854	432.933
855	433.947
856	434.963
857	435.98
858	436.998
859	438.017
860	439.038
861	440.059
862	441.082
863	442.106
864	443.131
865	444.158
866	445.185
867	446.214
868	447.244
869	448.275
870	449.307
871	450.341
872	451.375
873	452.411
874	453.448
875	454.486
876	455.526
877	456.566
878	457.608
879	458.651
880	459.695
881	460.741
882	461.787
883	462.835
884	463.884
885	464.934
886	465.985
887	467.038
888	468.092
889	469.146
890	470.202
891	471.26
892	472.318
893	473.378
894	474.438
895	475.5
896	476.564
897	477.628
898	478.693
899	479.76
900	480.828
901	481.897
902	482.968
903	484.039
904	485.112
905	486.185
906	487.261
907	488.337
908	489.414
909	490.493
910	491.573
911	492.654
912	493.736
913	494.819
914	495.904
915	496.989
916	498.076
917	499.164
