Independent Variable - Plot	Dependent Variable - Plot
0	0
1	0.000354125
2	0.0014165
3	0.00318713
4	0.005666
5	0.00885313
6	0.0127485
7	0.0173521
8	0.022664
9	0.0286841
10	0.0354125
11	0.0428491
12	0.050994
13	0.0598472
14	0.0694085
15	0.0796782
16	0.090656
17	0.102342
18	0.114737
19	0.127839
20	0.14165
21	0.156169
22	0.171397
23	0.187332
24	0.203976
25	0.221328
26	0.239389
27	0.258157
28	0.277634
29	0.297819
30	0.318713
31	0.340314
32	0.362624
33	0.385642
34	0.409369
35	0.433803
36	0.458946
37	0.484797
38	0.511357
39	0.538624
40	0.5666
41	0.595284
42	0.624677
43	0.654777
44	0.685586
45	0.717103
46	0.749329
47	0.782263
48	0.815904
49	0.850255
50	0.885313
51	0.92108
52	0.957554
53	0.994738
54	1.03263
55	1.07123
56	1.11054
57	1.15055
58	1.19128
59	1.23271
60	1.27485
61	1.3177
62	1.36126
63	1.40552
64	1.4505
65	1.49618
66	1.54257
67	1.58967
68	1.63747
69	1.68599
70	1.73521
71	1.78515
72	1.83578
73	1.88713
74	1.93919
75	1.99195
76	2.04543
77	2.09961
78	2.1545
79	2.2101
80	2.2664
81	2.32342
82	2.38114
83	2.43957
84	2.49871
85	2.55855
86	2.61911
87	2.68037
88	2.74235
89	2.80503
90	2.86841
91	2.93251
92	2.99732
93	3.06283
94	3.12905
95	3.19598
96	3.26362
97	3.33196
98	3.40102
99	3.47078
100	3.54125
101	3.61243
102	3.68432
103	3.75691
104	3.83022
105	3.90423
106	3.97895
107	4.05438
108	4.13052
109	4.20736
110	4.28491
111	4.36318
112	4.44215
113	4.52182
114	4.60221
115	4.68331
116	4.76511
117	4.84762
118	4.93084
119	5.01477
120	5.0994
121	5.18475
122	5.2708
123	5.35756
124	5.44503
125	5.53321
126	5.62209
127	5.71168
128	5.80199
129	5.893
130	5.98472
131	6.07714
132	6.17028
133	6.26412
134	6.35867
135	6.45393
136	6.5499
137	6.64658
138	6.74396
139	6.84205
140	6.94085
141	7.04036
142	7.14058
143	7.24151
144	7.34314
145	7.44548
146	7.54853
147	7.65229
148	7.75676
149	7.86193
150	7.96782
151	8.07441
152	8.18171
153	8.28972
154	8.39843
155	8.50786
156	8.61799
