Independent Variable - Plot	Dependent Variable - Plot
1	4.09E-11
1.999	1.63E-10
2.998	3.67E-10
3.997	6.53E-10
4.996	1.02E-09
5.995	1.47E-09
6.994	2.00E-09
7.993	2.61E-09
8.992	3.31E-09
9.991	4.08E-09
10.99	4.94E-09
11.989	5.88E-09
12.988	6.90E-09
13.987	8.00E-09
14.986	9.18E-09
15.985	1.04E-08
16.984	1.18E-08
17.983	1.32E-08
18.982	1.47E-08
19.981	1.63E-08
20.98	1.80E-08
21.979	1.97E-08
22.978	2.16E-08
23.977	2.35E-08
24.976	2.55E-08
25.975	2.76E-08
26.974	2.97E-08
27.973	3.20E-08
28.972	3.43E-08
29.971	3.67E-08
30.97	3.92E-08
31.969	4.18E-08
32.968	4.44E-08
33.967	4.72E-08
34.966	5.00E-08
35.965	5.29E-08
36.964	5.59E-08
37.963	5.89E-08
38.962	6.21E-08
39.961	6.53E-08
40.96	6.86E-08
41.959	7.20E-08
42.958	7.54E-08
43.957	7.90E-08
44.956	8.26E-08
45.955	8.63E-08
46.954	9.01E-08
47.953	9.40E-08
48.952	9.80E-08
49.951	1.02E-07
50.95	1.06E-07
51.949	1.10E-07
52.948	1.15E-07
53.947	1.19E-07
54.946	1.23E-07
55.945	1.28E-07
56.944	1.33E-07
57.943	1.37E-07
58.942	1.42E-07
59.941	1.47E-07
60.94	1.52E-07
61.939	1.57E-07
62.938	1.62E-07
63.937	1.67E-07
64.936	1.72E-07
65.935	1.78E-07
66.934	1.83E-07
67.933	1.89E-07
68.932	1.94E-07
69.931	2.00E-07
70.93	2.06E-07
71.929	2.12E-07
72.928	2.17E-07
73.927	2.23E-07
74.926	2.30E-07
75.925	2.36E-07
76.924	2.42E-07
77.923	2.48E-07
78.922	2.55E-07
79.921	2.61E-07
80.92	2.68E-07
81.919	2.74E-07
82.918	2.81E-07
83.917	2.88E-07
84.916	2.95E-07
85.915	3.02E-07
86.914	3.09E-07
87.913	3.16E-07
88.912	3.23E-07
89.911	3.30E-07
90.91	3.38E-07
91.909	3.45E-07
92.908	3.53E-07
93.907	3.61E-07
94.906	3.68E-07
95.905	3.76E-07
96.904	3.84E-07
97.903	3.92E-07
98.902	4.00E-07
99.901	4.08E-07
100.9	4.16E-07
101.899	4.24E-07
102.898	4.33E-07
103.897	4.41E-07
104.896	4.50E-07
105.895	4.58E-07
106.894	4.67E-07
107.893	4.76E-07
108.892	4.85E-07
109.891	4.94E-07
110.89	5.03E-07
111.889	5.12E-07
112.888	5.21E-07
113.887	5.30E-07
114.886	5.40E-07
115.885	5.49E-07
116.884	5.59E-07
117.883	5.68E-07
118.882	5.78E-07
119.881	5.88E-07
120.88	5.97E-07
121.879	6.07E-07
122.878	6.17E-07
123.877	6.27E-07
124.876	6.38E-07
125.875	6.48E-07
126.874	6.58E-07
127.873	6.68E-07
128.872	6.79E-07
129.871	6.90E-07
130.87	7.00E-07
131.869	7.11E-07
132.868	7.22E-07
133.867	7.33E-07
134.866	7.44E-07
135.865	7.55E-07
136.864	7.66E-07
137.863	7.77E-07
138.862	7.88E-07
139.861	8.00E-07
140.86	8.11E-07
141.859	8.23E-07
142.858	8.34E-07
143.857	8.46E-07
144.856	8.58E-07
145.855	8.70E-07
146.854	8.82E-07
147.853	8.94E-07
148.852	9.06E-07
149.851	9.18E-07
150.85	9.30E-07
151.849	9.43E-07
152.848	9.55E-07
153.847	9.68E-07
154.846	9.80E-07
155.845	9.93E-07
156.844	1.01E-06
157.843	1.02E-06
158.842	1.03E-06
159.841	1.04E-06
160.84	1.06E-06
161.839	1.07E-06
162.838	1.08E-06
163.837	1.10E-06
164.836	1.11E-06
165.835	1.12E-06
166.834	1.14E-06
167.833	1.15E-06
168.832	1.17E-06
169.831	1.18E-06
170.83	1.19E-06
171.829	1.21E-06
172.828	1.22E-06
173.827	1.24E-06
174.826	1.25E-06
175.825	1.26E-06
176.824	1.28E-06
177.823	1.29E-06
178.822	1.31E-06
179.821	1.32E-06
180.82	1.34E-06
181.819	1.35E-06
182.818	1.37E-06
183.817	1.38E-06
184.816	1.40E-06
185.815	1.41E-06
186.814	1.43E-06
187.813	1.44E-06
188.812	1.46E-06
