Independent Variable - Plot	Dependent Variable - Plot
1	1.91E-11
1.999	7.62E-11
2.998	1.71E-10
3.997	3.05E-10
4.996	4.76E-10
5.995	6.85E-10
6.994	9.33E-10
7.993	1.22E-09
8.992	1.54E-09
9.991	1.90E-09
10.99	2.30E-09
11.989	2.74E-09
12.988	3.22E-09
13.987	3.73E-09
14.986	4.28E-09
15.985	4.87E-09
16.984	5.50E-09
17.983	6.17E-09
18.982	6.87E-09
19.981	7.61E-09
20.98	8.39E-09
21.979	9.21E-09
22.978	1.01E-08
23.977	1.10E-08
24.976	1.19E-08
25.975	1.29E-08
26.974	1.39E-08
27.973	1.49E-08
28.972	1.60E-08
29.971	1.71E-08
30.97	1.83E-08
31.969	1.95E-08
32.968	2.07E-08
33.967	2.20E-08
34.966	2.33E-08
35.965	2.47E-08
36.964	2.61E-08
37.963	2.75E-08
38.962	2.89E-08
39.961	3.04E-08
40.96	3.20E-08
41.959	3.36E-08
42.958	3.52E-08
43.957	3.68E-08
44.956	3.85E-08
45.955	4.03E-08
46.954	4.20E-08
47.953	4.38E-08
48.952	4.57E-08
49.951	4.76E-08
50.95	4.95E-08
51.949	5.15E-08
52.948	5.35E-08
53.947	5.55E-08
54.946	5.76E-08
55.945	5.97E-08
56.944	6.18E-08
57.943	6.40E-08
58.942	6.62E-08
59.941	6.85E-08
60.94	7.08E-08
61.939	7.31E-08
62.938	7.55E-08
63.937	7.79E-08
64.936	8.04E-08
65.935	8.29E-08
66.934	8.54E-08
67.933	8.80E-08
68.932	9.06E-08
69.931	9.32E-08
70.93	9.59E-08
71.929	9.86E-08
72.928	1.01E-07
73.927	1.04E-07
74.926	1.07E-07
75.925	1.10E-07
76.924	1.13E-07
77.923	1.16E-07
78.922	1.19E-07
79.921	1.22E-07
80.92	1.25E-07
81.919	1.28E-07
82.918	1.31E-07
83.917	1.34E-07
84.916	1.37E-07
85.915	1.41E-07
86.914	1.44E-07
87.913	1.47E-07
88.912	1.51E-07
89.911	1.54E-07
90.91	1.58E-07
91.909	1.61E-07
92.908	1.65E-07
93.907	1.68E-07
94.906	1.72E-07
95.905	1.75E-07
96.904	1.79E-07
97.903	1.83E-07
98.902	1.86E-07
99.901	1.90E-07
100.9	1.94E-07
101.899	1.98E-07
102.898	2.02E-07
103.897	2.06E-07
