Independent Variable - Plot	Dependent Variable - Plot
0	0
1	6.87E-05
2	0.000274928
3	0.000618588
4	0.00109971
5	0.0017183
6	0.00247435
7	0.00336787
8	0.00439885
9	0.00556729
10	0.0068732
11	0.00831657
12	0.0098974
13	0.0116157
14	0.0134715
15	0.0154647
16	0.0175954
17	0.0198635
18	0.0222692
19	0.0248122
20	0.0274928
21	0.0303108
22	0.0332663
23	0.0363592
24	0.0395896
25	0.0429575
26	0.0464628
27	0.0501056
28	0.0538859
29	0.0578036
30	0.0618588
31	0.0660514
32	0.0703815
33	0.0748491
34	0.0794541
35	0.0841967
36	0.0890766
37	0.0940941
38	0.099249
39	0.104541
40	0.109971
41	0.115538
42	0.121243
43	0.127085
44	0.133065
45	0.139182
46	0.145437
47	0.151829
48	0.158358
49	0.165025
50	0.17183
51	0.178772
52	0.185851
53	0.193068
54	0.200422
55	0.207914
56	0.215543
57	0.22331
58	0.231214
59	0.239256
60	0.247435
61	0.255752
62	0.264206
63	0.272797
64	0.281526
65	0.290393
66	0.299396
67	0.308538
68	0.317817
69	0.327233
70	0.336787
71	0.346478
72	0.356306
73	0.366273
74	0.376376
75	0.386617
76	0.396996
77	0.407512
78	0.418165
79	0.428956
80	0.439885
81	0.45095
82	0.462154
83	0.473494
84	0.484973
85	0.496588
86	0.508342
87	0.520232
88	0.53226
89	0.544426
90	0.556729
91	0.569169
92	0.581747
93	0.594463
94	0.607316
95	0.620306
96	0.633434
97	0.646699
98	0.660102
99	0.673642
100	0.68732
101	0.701135
102	0.715087
103	0.729177
104	0.743405
105	0.75777
106	0.772272
107	0.786912
108	0.80169
109	0.816604
110	0.831657
111	0.846847
112	0.862174
113	0.877638
114	0.893241
115	0.90898
116	0.924857
117	0.940872
118	0.957024
119	0.973313
120	0.98974
121	1.0063
122	1.02301
123	1.03985
124	1.05682
125	1.07394
126	1.09119
127	1.10858
128	1.1261
129	1.14377
130	1.16157
131	1.17951
132	1.19759
133	1.2158
134	1.23415
135	1.25264
136	1.27127
137	1.29003
138	1.30893
139	1.32797
140	1.34715
141	1.36646
142	1.38591
143	1.4055
144	1.42523
145	1.44509
146	1.46509
147	1.48523
148	1.5055
149	1.52592
150	1.54647
151	1.56716
152	1.58798
153	1.60895
154	1.63005
155	1.65129
156	1.67266
157	1.69417
158	1.71582
159	1.73761
160	1.75954
161	1.7816
162	1.8038
163	1.82614
164	1.84861
165	1.87123
166	1.89398
167	1.91687
168	1.93989
169	1.96305
170	1.98635
171	2.00979
172	2.03337
173	2.05708
174	2.08093
175	2.10492
176	2.12904
177	2.1533
178	2.1777
179	2.20224
180	2.22692
181	2.25173
182	2.27668
183	2.30176
184	2.32699
185	2.35235
186	2.37785
187	2.40349
188	2.42926
189	2.45517
190	2.48122
191	2.50741
192	2.53374
193	2.5602
194	2.5868
195	2.61353
196	2.64041
197	2.66742
198	2.69457
199	2.72185
200	2.74928
201	2.77684
202	2.80454
203	2.83238
204	2.86035
205	2.88846
206	2.91671
207	2.9451
208	2.97362
209	3.00228
210	3.03108
211	3.06002
212	3.08909
213	3.1183
214	3.14765
215	3.17713
216	3.20676
217	3.23652
218	3.26642
219	3.29645
220	3.32663
221	3.35694
222	3.38739
223	3.41797
224	3.44869
225	3.47956
226	3.51055
227	3.54169
228	3.57296
229	3.60437
230	3.63592
231	3.66761
232	3.69943
233	3.73139
234	3.76349
235	3.79572
236	3.8281
237	3.86061
238	3.89325
239	3.92604
240	3.95896
241	3.99202
242	4.02522
243	4.05855
244	4.09203
245	4.12564
246	4.15938
247	4.19327
248	4.22729
249	4.26145
250	4.29575
251	4.33018
252	4.36475
253	4.39946
254	4.43431
255	4.4693
256	4.50442
257	4.53968
258	4.57507
259	4.61061
260	4.64628
261	4.68209
262	4.71804
263	4.75412
264	4.79034
265	4.8267
266	4.8632
267	4.89983
268	4.9366
269	4.97351
270	5.01056
271	5.04774
272	5.08507
273	5.12252
274	5.16012
275	5.19785
276	5.23573
277	5.27373
278	5.31188
279	5.35016
280	5.38859
281	5.42714
282	5.46584
283	5.50467
284	5.54365
285	5.58275
286	5.622
287	5.66138
288	5.7009
289	5.74056
290	5.78036
291	5.82029
292	5.86036
293	5.90057
294	5.94092
295	5.9814
296	6.02202
297	6.06278
298	6.10367
299	6.14471
300	6.18588
