Independent Variable - Plot	Dependent Variable - Plot
0	0
1	3.34E-08
2	1.33E-07
3	3.00E-07
4	5.34E-07
5	8.34E-07
6	1.20E-06
7	1.63E-06
8	2.14E-06
9	2.70E-06
10	3.34E-06
11	4.04E-06
12	4.80E-06
13	5.64E-06
14	6.54E-06
15	7.51E-06
16	8.54E-06
17	9.64E-06
18	1.08E-05
19	1.20E-05
20	1.33E-05
21	1.47E-05
22	1.61E-05
23	1.77E-05
24	1.92E-05
25	2.09E-05
26	2.26E-05
27	2.43E-05
28	2.62E-05
29	2.81E-05
30	3.00E-05
31	3.21E-05
32	3.42E-05
33	3.63E-05
34	3.86E-05
35	4.09E-05
36	4.32E-05
37	4.57E-05
38	4.82E-05
39	5.07E-05
40	5.34E-05
41	5.61E-05
42	5.89E-05
43	6.17E-05
44	6.46E-05
45	6.76E-05
46	7.06E-05
47	7.37E-05
48	7.69E-05
49	8.01E-05
50	8.34E-05
51	8.68E-05
52	9.02E-05
53	9.37E-05
54	9.73E-05
55	0.000100928
56	0.000104632
57	0.000108402
58	0.000112239
59	0.000116143
60	0.000120113
61	0.00012415
62	0.000128254
63	0.000132425
64	0.000136662
65	0.000140966
66	0.000145337
67	0.000149775
68	0.000154279
69	0.00015885
70	0.000163487
71	0.000168192
72	0.000172963
73	0.000177801
74	0.000182706
75	0.000187677
76	0.000192715
77	0.00019782
78	0.000202991
79	0.00020823
80	0.000213535
81	0.000218906
82	0.000224345
83	0.00022985
84	0.000235422
85	0.000241061
86	0.000246766
87	0.000252538
88	0.000258377
89	0.000264282
90	0.000270255
91	0.000276294
92	0.0002824
93	0.000288572
94	0.000294811
95	0.000301117
96	0.00030749
97	0.000313929
98	0.000320435
99	0.000327008
100	0.000333648
101	0.000340354
102	0.000347127
103	0.000353967
104	0.000360873
105	0.000367847
106	0.000374887
107	0.000381993
108	0.000389167
109	0.000396407
110	0.000403714
111	0.000411087
112	0.000418528
113	0.000426035
114	0.000433609
115	0.000441249
116	0.000448957
117	0.00045673
118	0.000464571
119	0.000472479
120	0.000480453
121	0.000488494
122	0.000496601
123	0.000504776
124	0.000513017
125	0.000521325
126	0.000529699
127	0.000538141
128	0.000546649
129	0.000555223
130	0.000563865
131	0.000572573
132	0.000581348
133	0.00059019
134	0.000599098
135	0.000608073
136	0.000617115
137	0.000626224
138	0.000635399
139	0.000644641
140	0.00065395
141	0.000663325
142	0.000672767
143	0.000682276
144	0.000691852
145	0.000701495
146	0.000711204
147	0.00072098
148	0.000730822
149	0.000740732
150	0.000750708
151	0.00076075
152	0.00077086
153	0.000781036
154	0.000791279
155	0.000801589
156	0.000811965
157	0.000822409
158	0.000832918
159	0.000843495
160	0.000854138
161	0.000864849
162	0.000875625
163	0.000886469
164	0.000897379
165	0.000908356
166	0.0009194
167	0.00093051
168	0.000941688
169	0.000952932
170	0.000964242
171	0.00097562
172	0.000987064
173	0.000998575
174	0.00101015
175	0.0010218
176	0.00103351
177	0.00104529
178	0.00105713
179	0.00106904
180	0.00108102
181	0.00109306
182	0.00110518
183	0.00111735
184	0.0011296
185	0.00114191
186	0.00115429
187	0.00116673
188	0.00117924
189	0.00119182
190	0.00120447
191	0.00121718
192	0.00122996
193	0.0012428
194	0.00125572
195	0.0012687
196	0.00128174
197	0.00129485
198	0.00130803
199	0.00132128
200	0.00133459
201	0.00134797
202	0.00136142
203	0.00137493
204	0.00138851
205	0.00140215
206	0.00141587
207	0.00142965
208	0.00144349
209	0.00145741
210	0.00147139
211	0.00148543
212	0.00149955
213	0.00151373
214	0.00152797
215	0.00154229
216	0.00155667
217	0.00157111
218	0.00158563
219	0.00160021
220	0.00161486
221	0.00162957
222	0.00164435
223	0.0016592
224	0.00167411
225	0.00168909
226	0.00170414
227	0.00171925
228	0.00173443
229	0.00174968
230	0.001765
231	0.00178038
232	0.00179583
233	0.00181134
234	0.00182692
235	0.00184257
236	0.00185828
237	0.00187407
238	0.00188991
239	0.00190583
240	0.00192181
241	0.00193786
242	0.00195398
243	0.00197016
244	0.00198641
245	0.00200272
246	0.0020191
247	0.00203555
248	0.00205207
249	0.00206865
250	0.0020853
251	0.00210201
252	0.0021188
253	0.00213565
254	0.00215256
255	0.00216954
256	0.00218659
257	0.00220371
258	0.00222089
259	0.00223814
260	0.00225546
261	0.00227284
262	0.00229029
263	0.00230781
264	0.00232539
265	0.00234304
266	0.00236076
267	0.00237854
268	0.00239639
269	0.00241431
270	0.00243229
271	0.00245034
272	0.00246846
273	0.00248664
274	0.00250489
275	0.00252321
276	0.0025416
277	0.00256005
278	0.00257856
279	0.00259715
280	0.0026158
281	0.00263452
282	0.0026533
283	0.00267215
284	0.00269107
285	0.00271005
286	0.00272911
287	0.00274822
288	0.00276741
289	0.00278666
290	0.00280598
291	0.00282536
292	0.00284481
293	0.00286433
294	0.00288392
295	0.00290357
296	0.00292329
297	0.00294307
298	0.00296293
299	0.00298284
300	0.00300283
301	0.00302288
302	0.003043
303	0.00306319
304	0.00308344
305	0.00310376
306	0.00312414
307	0.0031446
308	0.00316512
309	0.0031857
310	0.00320636
311	0.00322708
312	0.00324786
313	0.00326871
314	0.00328963
315	0.00331062
316	0.00333167
317	0.00335279
318	0.00337398
319	0.00339523
320	0.00341655
321	0.00343794
322	0.00345939
323	0.00348091
324	0.0035025
325	0.00352416
326	0.00354588
327	0.00356766
328	0.00358952
329	0.00361144
330	0.00363342
331	0.00365548
332	0.0036776
333	0.00369979
334	0.00372204
335	0.00374436
336	0.00376675
337	0.0037892
338	0.00381173
339	0.00383431
340	0.00385697
341	0.00387969
342	0.00390248
343	0.00392533
344	0.00394825
345	0.00397124
346	0.0039943
347	0.00401742
348	0.00404061
349	0.00406386
350	0.00408719
351	0.00411057
352	0.00413403
353	0.00415755
354	0.00418114
355	0.0042048
356	0.00422852
357	0.00425231
358	0.00427616
359	0.00430009
360	0.00432408
361	0.00434813
