Independent Variable - Plot	Dependent Variable - Plot
0	0
1	1.43E-07
2	5.72E-07
3	1.29E-06
4	2.29E-06
5	3.58E-06
6	5.15E-06
7	7.01E-06
8	9.16E-06
9	1.16E-05
10	1.43E-05
11	1.73E-05
12	2.06E-05
13	2.42E-05
14	2.80E-05
15	3.22E-05
16	3.66E-05
17	4.14E-05
18	4.64E-05
19	5.17E-05
20	5.72E-05
21	6.31E-05
22	6.93E-05
23	7.57E-05
24	8.24E-05
25	8.94E-05
26	9.67E-05
27	0.000104308
28	0.000112178
29	0.000120334
30	0.000128776
31	0.000137504
32	0.000146518
33	0.000155818
34	0.000165405
35	0.000175278
36	0.000185437
37	0.000195882
38	0.000206613
39	0.000217631
40	0.000228934
41	0.000240524
42	0.0002524
43	0.000264562
44	0.000277011
45	0.000289745
46	0.000302766
47	0.000316073
48	0.000329665
49	0.000343545
50	0.00035771
51	0.000372161
52	0.000386899
53	0.000401923
54	0.000417233
55	0.000432829
56	0.000448711
57	0.00046488
58	0.000481335
59	0.000498075
60	0.000515102
61	0.000532415
62	0.000550015
63	0.0005679
64	0.000586072
65	0.00060453
66	0.000623274
67	0.000642304
68	0.00066162
69	0.000681223
70	0.000701112
71	0.000721286
72	0.000741747
73	0.000762495
74	0.000783528
75	0.000804847
76	0.000826453
77	0.000848345
78	0.000870523
79	0.000892987
80	0.000915737
81	0.000938774
82	0.000962097
83	0.000985706
84	0.0010096
85	0.00103378
86	0.00105825
87	0.001083
88	0.00110804
89	0.00113337
90	0.00115898
91	0.00118488
92	0.00121106
93	0.00123753
94	0.00126429
95	0.00129133
96	0.00131866
97	0.00134628
98	0.00137418
99	0.00140237
100	0.00143084
101	0.0014596
102	0.00148865
103	0.00151798
104	0.0015476
105	0.0015775
106	0.00160769
107	0.00163817
108	0.00166893
109	0.00169998
110	0.00173132
111	0.00176294
112	0.00179485
113	0.00182704
114	0.00185952
115	0.00189229
116	0.00192534
117	0.00195868
118	0.0019923
119	0.00202621
120	0.00206041
121	0.00209489
122	0.00212966
123	0.00216472
124	0.00220006
125	0.00223569
126	0.0022716
127	0.0023078
128	0.00234429
129	0.00238106
130	0.00241812
131	0.00245546
132	0.0024931
133	0.00253101
134	0.00256922
135	0.00260771
136	0.00264648
137	0.00268554
138	0.00272489
139	0.00276453
140	0.00280445
141	0.00284465
142	0.00288515
143	0.00292592
144	0.00296699
145	0.00300834
146	0.00304998
147	0.0030919
148	0.00313411
149	0.00317661
150	0.00321939
151	0.00326246
152	0.00330581
153	0.00334945
154	0.00339338
155	0.00343759
156	0.00348209
157	0.00352688
158	0.00357195
159	0.00361731
160	0.00366295
161	0.00370888
162	0.0037551
163	0.0038016
164	0.00384839
165	0.00389546
166	0.00394282
167	0.00399047
168	0.0040384
169	0.00408662
170	0.00413513
171	0.00418392
172	0.004233
173	0.00428236
174	0.00433201
175	0.00438195
176	0.00443217
177	0.00448268
178	0.00453347
179	0.00458455
180	0.00463592
181	0.00468757
182	0.00473951
183	0.00479174
184	0.00484425
185	0.00489705
186	0.00495013
187	0.0050035
188	0.00505716
189	0.0051111
190	0.00516533
191	0.00521985
192	0.00527465
193	0.00532974
194	0.00538511
195	0.00544077
196	0.00549671
197	0.00555295
198	0.00560946
199	0.00566627
200	0.00572336
201	0.00578074
202	0.0058384
203	0.00589635
204	0.00595458
205	0.0060131
206	0.00607191
207	0.00613101
208	0.00619039
209	0.00625005
210	0.00631
211	0.00637024
212	0.00643077
213	0.00649158
214	0.00655267
215	0.00661406
216	0.00667573
217	0.00673768
218	0.00679992
219	0.00686245
220	0.00692526
221	0.00698836
222	0.00705175
223	0.00711542
224	0.00717938
225	0.00724363
226	0.00730816
227	0.00737297
228	0.00743808
229	0.00750347
230	0.00756914
231	0.0076351
232	0.00770135
233	0.00776789
234	0.00783471
235	0.00790181
236	0.00796921
237	0.00803688
238	0.00810485
239	0.0081731
240	0.00824164
241	0.00831046
242	0.00837957
243	0.00844897
244	0.00851865
245	0.00858862
246	0.00865887
247	0.00872941
248	0.00880024
249	0.00887135
250	0.00894275
251	0.00901443
252	0.00908641
253	0.00915866
254	0.00923121
255	0.00930404
256	0.00937715
257	0.00945055
258	0.00952424
259	0.00959822
260	0.00967248
261	0.00974702
262	0.00982186
263	0.00989698
264	0.00997238
265	0.0100481
266	0.0101241
267	0.0102003
268	0.0102769
269	0.0103537
270	0.0104308
271	0.0105082
272	0.0105859
273	0.0106639
274	0.0107422
275	0.0108207
276	0.0108996
277	0.0109787
278	0.0110581
279	0.0111378
280	0.0112178
281	0.0112981
282	0.0113786
283	0.0114595
284	0.0115406
285	0.011622
286	0.0117037
287	0.0117857
288	0.011868
289	0.0119505
290	0.0120334
291	0.0121165
292	0.0121999
293	0.0122836
294	0.0123676
295	0.0124519
296	0.0125364
297	0.0126213
298	0.0127064
299	0.0127919
300	0.0128776
301	0.0129636
302	0.0130498
303	0.0131364
304	0.0132232
305	0.0133104
306	0.0133978
307	0.0134855
308	0.0135735
309	0.0136618
310	0.0137504
311	0.0138392
312	0.0139284
313	0.0140178
314	0.0141075
315	0.0141975
316	0.0142878
317	0.0143784
318	0.0144692
319	0.0145604
320	0.0146518
321	0.0147435
322	0.0148355
323	0.0149278
324	0.0150204
325	0.0151132
326	0.0152064
327	0.0152998
328	0.0153935
329	0.0154876
330	0.0155818
331	0.0156764
332	0.0157713
333	0.0158664
334	0.0159619
335	0.0160576
336	0.0161536
337	0.0162499
338	0.0163465
339	0.0164434
340	0.0165405
341	0.0166379
342	0.0167357
343	0.0168337
344	0.016932
345	0.0170306
346	0.0171294
347	0.0172286
348	0.017328
349	0.0174278
350	0.0175278
351	0.0176281
352	0.0177287
353	0.0178296
354	0.0179307
355	0.0180322
356	0.0181339
357	0.0182359
358	0.0183382
359	0.0184408
360	0.0185437
361	0.0186468
362	0.0187503
363	0.018854
364	0.0189581
365	0.0190624
366	0.019167
367	0.0192718
368	0.019377
369	0.0194825
370	0.0195882
371	0.0196942
372	0.0198005
373	0.0199071
374	0.020014
375	0.0201212
376	0.0202286
377	0.0203364
378	0.0204444
379	0.0205527
380	0.0206613
381	0.0207702
382	0.0208794
383	0.0209888
384	0.0210986
385	0.0212086
386	0.0213189
387	0.0214295
388	0.0215404
389	0.0216516
390	0.0217631
