Independent Variable - Plot	Dependent Variable - Plot
0	0
1	0.000548457
2	0.00219383
3	0.00493611
4	0.00877531
5	0.0137114
6	0.0197444
7	0.0268744
8	0.0351012
9	0.044425
10	0.0548457
11	0.0663633
12	0.0789778
13	0.0926892
14	0.107498
15	0.123403
16	0.140405
17	0.158504
18	0.1777
19	0.197993
20	0.219383
21	0.241869
22	0.265453
23	0.290134
24	0.315911
25	0.342785
26	0.370757
27	0.399825
28	0.42999
29	0.461252
30	0.493611
31	0.527067
32	0.56162
33	0.597269
34	0.634016
35	0.671859
36	0.7108
37	0.750837
38	0.791971
39	0.834203
40	0.877531
41	0.921956
42	0.967478
43	1.0141
44	1.06181
45	1.11062
46	1.16053
47	1.21154
48	1.26364
49	1.31684
50	1.37114
51	1.42654
52	1.48303
53	1.54061
54	1.5993
55	1.65908
56	1.71996
57	1.78194
58	1.84501
59	1.90918
60	1.97444
61	2.04081
62	2.10827
63	2.17682
64	2.24648
65	2.31723
66	2.38908
67	2.46202
68	2.53606
69	2.6112
70	2.68744
71	2.76477
72	2.8432
73	2.92273
74	3.00335
75	3.08507
76	3.16789
77	3.2518
78	3.33681
79	3.42292
80	3.51012
81	3.59842
82	3.68782
83	3.77832
84	3.86991
85	3.9626
86	4.05639
87	4.15127
88	4.24725
89	4.34433
90	4.4425
91	4.54177
92	4.64214
93	4.7436
94	4.84616
95	4.94982
96	5.05458
97	5.16043
98	5.26738
99	5.37542
100	5.48457
101	5.59481
102	5.70614
103	5.81858
104	5.93211
105	6.04673
106	6.16246
107	6.27928
108	6.3972
109	6.51621
110	6.63633
111	6.75753
112	6.87984
113	7.00324
114	7.12774
115	7.25334
116	7.38003
117	7.50782
118	7.63671
119	7.76669
120	7.89778
121	8.02995
122	8.16323
123	8.2976
124	8.43307
125	8.56964
126	8.7073
127	8.84606
128	8.98591
129	9.12687
130	9.26892
131	9.41206
132	9.55631
133	9.70165
134	9.84809
135	9.99562
136	10.1443
137	10.294
138	10.4448
139	10.5967
140	10.7498
141	10.9039
142	11.0591
143	11.2154
144	11.3728
145	11.5313
146	11.6909
147	11.8516
148	12.0134
149	12.1763
150	12.3403
151	12.5054
152	12.6715
153	12.8388
154	13.0072
155	13.1767
156	13.3472
157	13.5189
158	13.6917
159	13.8655
160	14.0405
161	14.2165
162	14.3937
163	14.5719
164	14.7513
165	14.9317
166	15.1133
167	15.2959
168	15.4796
169	15.6645
170	15.8504
171	16.0374
172	16.2255
173	16.4148
174	16.6051
175	16.7965
176	16.989
177	17.1826
178	17.3773
179	17.5731
180	17.77
181	17.968
182	18.1671
183	18.3673
184	18.5685
185	18.7709
186	18.9744
187	19.179
188	19.3847
189	19.5914
190	19.7993
191	20.0082
192	20.2183
193	20.4295
194	20.6417
195	20.8551
196	21.0695
197	21.2851
198	21.5017
199	21.7194
200	21.9383
201	22.1582
202	22.3792
203	22.6014
204	22.8246
205	23.0489
206	23.2743
207	23.5008
208	23.7284
209	23.9571
210	24.1869
211	24.4178
212	24.6498
213	24.8829
214	25.1171
215	25.3524
216	25.5888
217	25.8263
218	26.0649
219	26.3045
220	26.5453
221	26.7872
222	27.0301
223	27.2742
224	27.5194
225	27.7656
226	28.013
227	28.2614
228	28.511
229	28.7616
230	29.0134
231	29.2662
232	29.5201
233	29.7752
234	30.0313
235	30.2885
236	30.5468
237	30.8063
238	31.0668
239	31.3284
240	31.5911
241	31.8549
242	32.1198
243	32.3858
244	32.6529
245	32.9211
246	33.1904
247	33.4608
248	33.7323
249	34.0049
250	34.2785
251	34.5533
252	34.8292
253	35.1062
254	35.3842
255	35.6634
256	35.9437
257	36.225
258	36.5075
259	36.791
260	37.0757
261	37.3614
262	37.6483
263	37.9362
264	38.2252
265	38.5154
266	38.8066
267	39.0989
