Independent Variable - Plot	Dependent Variable - Plot
0	0
1	2.29E+06
2	4.58E+06
3	6.86E+06
4	9.15E+06
5	1.14E+07
6	1.37E+07
7	1.60E+07
8	1.83E+07
9	2.06E+07
10	2.29E+07
11	2.52E+07
12	2.75E+07
13	2.97E+07
14	3.20E+07
15	3.43E+07
16	3.66E+07
17	3.89E+07
18	4.12E+07
19	4.35E+07
20	4.58E+07
21	4.80E+07
22	5.03E+07
23	5.26E+07
24	5.49E+07
25	5.72E+07
26	5.95E+07
27	6.18E+07
28	6.41E+07
29	6.63E+07
30	6.86E+07
31	7.09E+07
32	7.32E+07
33	7.55E+07
34	7.78E+07
35	8.01E+07
36	8.24E+07
37	8.46E+07
38	8.69E+07
39	8.92E+07
40	9.15E+07
41	9.38E+07
42	9.61E+07
43	9.84E+07
44	1.01E+08
45	1.03E+08
46	1.05E+08
47	1.08E+08
48	1.10E+08
49	1.12E+08
50	1.14E+08
51	1.17E+08
52	1.19E+08
53	1.21E+08
54	1.24E+08
55	1.26E+08
56	1.28E+08
57	1.30E+08
58	1.33E+08
59	1.35E+08
60	1.37E+08
61	1.40E+08
62	1.42E+08
63	1.44E+08
64	1.46E+08
65	1.49E+08
66	1.51E+08
67	1.53E+08
68	1.56E+08
69	1.58E+08
70	1.60E+08
71	1.62E+08
72	1.65E+08
73	1.67E+08
74	1.69E+08
75	1.72E+08
76	1.74E+08
77	1.76E+08
78	1.78E+08
79	1.81E+08
80	1.83E+08
81	1.85E+08
82	1.88E+08
83	1.90E+08
84	1.92E+08
85	1.94E+08
86	1.97E+08
87	1.99E+08
88	2.01E+08
89	2.04E+08
90	2.06E+08
91	2.08E+08
92	2.10E+08
93	2.13E+08
94	2.15E+08
95	2.17E+08
96	2.20E+08
97	2.22E+08
98	2.24E+08
99	2.26E+08
100	2.29E+08
101	2.31E+08
102	2.33E+08
103	2.36E+08
104	2.38E+08
105	2.40E+08
106	2.42E+08
107	2.45E+08
108	2.47E+08
109	2.49E+08
110	2.52E+08
111	2.54E+08
112	2.56E+08
113	2.58E+08
114	2.61E+08
115	2.63E+08
116	2.65E+08
117	2.68E+08
118	2.70E+08
119	2.72E+08
120	2.75E+08
121	2.77E+08
122	2.79E+08
123	2.81E+08
124	2.84E+08
125	2.86E+08
126	2.88E+08
127	2.91E+08
128	2.93E+08
129	2.95E+08
130	2.97E+08
131	3.00E+08
132	3.02E+08
133	3.04E+08
134	3.07E+08
135	3.09E+08
136	3.11E+08
137	3.13E+08
138	3.16E+08
139	3.18E+08
140	3.20E+08
141	3.23E+08
142	3.25E+08
143	3.27E+08
144	3.29E+08
145	3.32E+08
146	3.34E+08
147	3.36E+08
148	3.39E+08
149	3.41E+08
150	3.43E+08
151	3.45E+08
152	3.48E+08
153	3.50E+08
154	3.52E+08
155	3.55E+08
156	3.57E+08
157	3.59E+08
158	3.61E+08
159	3.64E+08
160	3.66E+08
161	3.68E+08
162	3.71E+08
163	3.73E+08
164	3.75E+08
165	3.77E+08
166	3.80E+08
167	3.82E+08
168	3.84E+08
169	3.87E+08
170	3.89E+08
171	3.91E+08
172	3.93E+08
173	3.96E+08
174	3.98E+08
175	4.00E+08
176	4.03E+08
177	4.05E+08
178	4.07E+08
179	4.09E+08
180	4.12E+08
181	4.14E+08
182	4.16E+08
183	4.19E+08
184	4.21E+08
185	4.23E+08
186	4.25E+08
187	4.28E+08
188	4.30E+08
189	4.32E+08
190	4.35E+08
191	4.37E+08
192	4.39E+08
193	4.41E+08
194	4.44E+08
195	4.46E+08
196	4.48E+08
197	4.51E+08
198	4.53E+08
199	4.55E+08
200	4.58E+08
201	4.60E+08
202	4.62E+08
203	4.64E+08
204	4.67E+08
205	4.69E+08
206	4.71E+08
207	4.74E+08
208	4.76E+08
209	4.78E+08
210	4.80E+08
211	4.83E+08
212	4.85E+08
213	4.87E+08
214	4.90E+08
215	4.92E+08
216	4.94E+08
217	4.96E+08
218	4.99E+08
219	5.01E+08
220	5.03E+08
221	5.06E+08
222	5.08E+08
223	5.10E+08
224	5.12E+08
225	5.15E+08
226	5.17E+08
227	5.19E+08
228	5.22E+08
229	5.24E+08
230	5.26E+08
231	5.28E+08
232	5.31E+08
233	5.33E+08
234	5.35E+08
235	5.38E+08
236	5.40E+08
237	5.42E+08
238	5.44E+08
239	5.47E+08
240	5.49E+08
241	5.51E+08
242	5.54E+08
243	5.56E+08
244	5.58E+08
245	5.60E+08
246	5.63E+08
247	5.65E+08
248	5.67E+08
249	5.70E+08
250	5.72E+08
251	5.74E+08
252	5.76E+08
253	5.79E+08
254	5.81E+08
255	5.83E+08
256	5.86E+08
257	5.88E+08
258	5.90E+08
259	5.92E+08
260	5.95E+08
261	5.97E+08
262	5.99E+08
263	6.02E+08
264	6.04E+08
265	6.06E+08
266	6.08E+08
267	6.11E+08
268	6.13E+08
269	6.15E+08
270	6.18E+08
271	6.20E+08
272	6.22E+08
273	6.25E+08
274	6.27E+08
275	6.29E+08
276	6.31E+08
277	6.34E+08
278	6.36E+08
279	6.38E+08
280	6.41E+08
281	6.43E+08
282	6.45E+08
283	6.47E+08
284	6.50E+08
285	6.52E+08
286	6.54E+08
287	6.57E+08
288	6.59E+08
289	6.61E+08
290	6.63E+08
291	6.66E+08
292	6.68E+08
293	6.70E+08
294	6.73E+08
